 wavenumber    crosssection    coefficient
 3958.840000    5.9102816603E-22    1.6982822037E-02
 3958.880000    5.8111882038E-22    1.6698083232E-02
 3958.920000    5.7557669326E-22    1.6538833700E-02
 3958.960000    5.7383145606E-22    1.6488685409E-02
 3959.000000    5.7298978755E-22    1.6464500595E-02
 3959.040000    5.7714097265E-22    1.6583782283E-02
 3959.080000    5.8402826488E-22    1.6781684287E-02
 3959.120000    5.9415944728E-22    1.7072797431E-02
 3959.160000    6.0834531146E-22    1.7480419302E-02
 3959.200000    6.2750725444E-22    1.8031025663E-02
 3959.240000    6.5254199938E-22    1.8750383288E-02
 3959.280000    6.8417857283E-22    1.9659440297E-02
 3959.320000    7.2282405918E-22    2.0769894003E-02
 3959.360000    7.6753504522E-22    2.2054636021E-02
 3959.400000    8.1680840458E-22    2.3470474963E-02
 3959.440000    8.7381893727E-22    2.5108636707E-02
 3959.480000    9.3428047494E-22    2.6845960904E-02
 3959.520000    9.9556928065E-22    2.8607056128E-02
 3959.560000    1.0550178509E-21    3.0315273345E-02
 3959.600000    1.1087331932E-21    3.1858749868E-02
 3959.640000    1.1513868483E-21    3.3084375777E-02
 3959.680000    1.1766968207E-21    3.3811641892E-02
 3959.720000    1.1792237605E-21    3.3884251915E-02
 3959.760000    1.1567561474E-21    3.3238659206E-02
 3959.800000    1.1116511052E-21    3.1942594233E-02
 3959.840000    1.0500722650E-21    3.0173165048E-02
 3959.880000    9.7971631530E-22    2.8151531155E-02
 3959.920000    9.0756377548E-22    2.6078273375E-02
 3959.960000    8.3867211667E-22    2.4098714957E-02
 3960.000000    7.7602638522E-22    2.2298629327E-02
 3960.040000    7.2097121408E-22    2.0716653666E-02
 3960.080000    6.7268607534E-22    1.9329210621E-02
 3960.120000    6.3301002373E-22    1.8189144272E-02
 3960.160000    6.0022626294E-22    1.7247123557E-02
 3960.200000    5.7362363548E-22    1.6482713815E-02
 3960.240000    5.5251141470E-22    1.5876067451E-02
 3960.280000    5.3627016391E-22    1.5409385340E-02
 3960.320000    5.2436930908E-22    1.5067421774E-02
 3960.360000    5.1636849163E-22    1.4837523324E-02
 3960.400000    5.1191000963E-22    1.4709411653E-02
 3960.440000    5.1070803898E-22    1.4674873783E-02
 3960.480000    5.1253658656E-22    1.4727415946E-02
 3960.520000    5.1721790883E-22    1.4861930793E-02
 3960.560000    5.2461345677E-22    1.5074437204E-02
 3960.600000    5.3461842518E-22    1.5361923669E-02
 3960.640000    5.4716346071E-22    1.5722397362E-02
 3960.680000    5.6222442138E-22    1.6155164579E-02
 3960.720000    5.7984052487E-22    1.6661352216E-02
 3960.760000    6.0013831066E-22    1.7244596304E-02
 3960.800000    6.2335426957E-22    1.7911692258E-02
 3960.840000    6.4997819880E-22    1.8676714093E-02
 3960.880000    6.8026139559E-22    1.9546882676E-02
 3960.920000    7.1496914038E-22    2.0544187859E-02
 3960.960000    7.5488089097E-22    2.1691026870E-02
 3961.000000    8.0092006669E-22    2.3013933582E-02
 3961.040000    8.5416952333E-22    2.4544023175E-02
 3961.080000    9.1626990262E-22    2.6328438454E-02
 3961.120000    9.8798828461E-22    2.8389220982E-02
 3961.160000    1.0714845945E-21    3.0788434850E-02
 3961.200000    1.1689108918E-21    3.3587918128E-02
 3961.240000    1.2821173506E-21    3.6840834408E-02
 3961.280000    1.4157082865E-21    4.0679485798E-02
 3961.320000    1.5726560787E-21    4.5189281738E-02
 3961.360000    1.7573115582E-21    5.0495240619E-02
 3961.400000    1.9745652473E-21    5.6737888519E-02
 3961.440000    2.2294628169E-21    6.4062209610E-02
 3961.480000    2.5262076307E-21    7.2588984902E-02
 3961.520000    2.8660248331E-21    8.2353418146E-02
 3961.560000    3.2433179763E-21    9.3194698943E-02
 3961.600000    3.6403213737E-21    1.0460234148E-01
 3961.640000    4.0232493705E-21    1.1560553625E-01
 3961.680000    4.3471420783E-21    1.2491238917E-01
 3961.720000    4.5755485200E-21    1.3147550439E-01
 3961.760000    4.7062602272E-21    1.3523142295E-01
 3961.800000    4.7790611508E-21    1.3732331163E-01
 3961.840000    4.8549242996E-21    1.3950319143E-01
 3961.880000    4.9838596327E-21    1.4320806700E-01
 3961.920000    5.1798425225E-21    1.4883951188E-01
 3961.960000    5.4065570078E-21    1.5535400980E-01
 3962.000000    5.5787659926E-21    1.6030232649E-01
 3962.040000    5.5957130842E-21    1.6078929050E-01
 3962.080000    5.4025304158E-21    1.5523830821E-01
 3962.120000    5.0252673223E-21    1.4439789087E-01
 3962.160000    4.5402021064E-21    1.3045984746E-01
 3962.200000    4.0204839530E-21    1.1552607371E-01
 3962.240000    3.5135482450E-21    1.0095959548E-01
 3962.280000    3.0459072484E-21    8.7522226035E-02
 3962.320000    2.6312637348E-21    7.5607705875E-02
 3962.360000    2.2742994795E-21    6.5350562864E-02
 3962.400000    1.9730866577E-21    5.6695402177E-02
 3962.440000    1.7195486391E-21    4.9410146926E-02
 3962.480000    1.5108385666E-21    4.3412994468E-02
 3962.520000    1.3374333627E-21    3.8430305169E-02
 3962.560000    1.1928817092E-21    3.4276704465E-02
 3962.600000    1.0717740276E-21    3.0796751528E-02
 3962.640000    9.6972391019E-22    2.7864405689E-02
 3962.680000    8.8322280308E-22    2.5378850867E-02
 3962.720000    8.0948454731E-22    2.3260028538E-02
 3962.760000    7.4629999297E-22    2.1444460172E-02
 3962.800000    6.9191513459E-22    1.9881745526E-02
 3962.840000    6.4493356547E-22    1.8531759732E-02
 3962.880000    6.0424039764E-22    1.7362467189E-02
 3962.920000    5.6894323884E-22    1.6348225566E-02
 3962.960000    5.3832810418E-22    1.5468518958E-02
 3963.000000    5.1182411005E-22    1.4706943382E-02
 3963.040000    4.8897836499E-22    1.4050485290E-02
 3963.080000    4.6943641815E-22    1.3488959757E-02
 3963.120000    4.5292797940E-22    1.3014600169E-02
 3963.160000    4.3925665623E-22    1.2621763310E-02
 3963.200000    4.2829302403E-22    1.2306730245E-02
 3963.240000    4.1997001147E-22    1.2067573722E-02
 3963.280000    4.1428039844E-22    1.1904086276E-02
 3963.320000    4.1127520167E-22    1.1817733840E-02
 3963.360000    4.1103451458E-22    1.1810817848E-02
 3963.400000    4.1377232617E-22    1.1889487139E-02
 3963.440000    4.1966175678E-22    1.2058716218E-02
 3963.480000    4.2892135564E-22    1.2324784958E-02
 3963.520000    4.4174203807E-22    1.2693179192E-02
 3963.560000    4.5820525972E-22    1.3166239495E-02
