 wavenumber    crosssection    coefficient
 2020.738140    8.9491776228E-23    2.5714898152E-03
 2020.742930    8.9201136295E-23    2.5631384598E-03
 2020.747720    8.8912668424E-23    2.5548495173E-03
 2020.752510    8.8626381582E-23    2.5466232452E-03
 2020.757300    8.8342283685E-23    2.5384598711E-03
 2020.762090    8.8060381622E-23    2.5303595929E-03
 2020.766880    8.7780681250E-23    2.5223225789E-03
 2020.771670    8.7503187441E-23    2.5143489691E-03
 2020.776460    8.7227904083E-23    2.5064388752E-03
 2020.781250    8.6954834112E-23    2.4985923816E-03
 2020.786040    8.6683979546E-23    2.4908095463E-03
 2020.790830    8.6415341500E-23    2.4830904013E-03
 2020.795620    8.6148920229E-23    2.4754349539E-03
 2020.800410    8.5884715161E-23    2.4678431877E-03
 2020.805200    8.5622724920E-23    2.4603150631E-03
 2020.809990    8.5362947380E-23    2.4528505192E-03
 2020.814780    8.5105379667E-23    2.4454494732E-03
 2020.819570    8.4850018234E-23    2.4381118233E-03
 2020.824360    8.4596858858E-23    2.4308374481E-03
 2020.829150    8.4345896709E-23    2.4236262088E-03
 2020.833940    8.4097126361E-23    2.4164779496E-03
 2020.838730    8.3850541828E-23    2.4093924984E-03
 2020.843520    8.3606136622E-23    2.4023696687E-03
 2020.848310    8.3363903756E-23    2.3954092599E-03
 2020.853100    8.3123835789E-23    2.3885110581E-03
 2020.857890    8.2885924865E-23    2.3816748376E-03
 2020.862680    8.2650162738E-23    2.3749003614E-03
 2020.867470    8.2416540795E-23    2.3681873820E-03
 2020.872260    8.2185050098E-23    2.3615356427E-03
 2020.877050    8.1955681406E-23    2.3549448778E-03
 2020.881840    8.1728425192E-23    2.3484148137E-03
 2020.886630    8.1503271697E-23    2.3419451698E-03
 2020.891420    8.1280210925E-23    2.3355356590E-03
 2020.896210    8.1059232680E-23    2.3291859884E-03
 2020.901000    8.0840326589E-23    2.3228958598E-03
 2020.905790    8.0623482130E-23    2.3166649708E-03
 2020.910580    8.0408688633E-23    2.3104930150E-03
 2020.915370    8.0195935327E-23    2.3043796828E-03
 2020.920160    7.9985211333E-23    2.2983246615E-03
 2020.924950    7.9776505701E-23    2.2923276367E-03
 2020.929740    7.9569807416E-23    2.2863882917E-03
 2020.934530    7.9365105415E-23    2.2805063086E-03
 2020.939320    7.9162388610E-23    2.2746813689E-03
 2020.944110    7.8961645898E-23    2.2689131536E-03
 2020.948900    7.8762866160E-23    2.2632013430E-03
 2020.953690    7.8566038298E-23    2.2575456184E-03
 2020.958480    7.8371151235E-23    2.2519456614E-03
 2020.963270    7.8178193918E-23    2.2464011544E-03
 2020.968060    7.7987155345E-23    2.2409117814E-03
 2020.972850    7.7798024563E-23    2.2354772275E-03
 2020.977640    7.7610790680E-23    2.2300971798E-03
 2020.982430    7.7425442867E-23    2.2247713272E-03
 2020.987220    7.7241970384E-23    2.2194993610E-03
 2020.992010    7.7060362563E-23    2.2142809746E-03
 2020.996800    7.6880608837E-23    2.2091158645E-03
 2021.001590    7.6702698731E-23    2.2040037297E-03
 2021.006380    7.6526621871E-23    2.1989442721E-03
 2021.011170    7.6352367993E-23    2.1939371967E-03
 2021.015960    7.6179926950E-23    2.1889822119E-03
 2021.020750    7.6009288702E-23    2.1840790293E-03
 2021.025540    7.5840443335E-23    2.1792273641E-03
 2021.030330    7.5673381069E-23    2.1744269351E-03
 2021.035120    7.5508092236E-23    2.1696774646E-03
 2021.039910    7.5344567310E-23    2.1649786789E-03
 2021.044700    7.5182796896E-23    2.1603303080E-03
 2021.049490    7.5022771744E-23    2.1557320860E-03
 2021.054280    7.4864482724E-23    2.1511837507E-03
 2021.059070    7.4707920876E-23    2.1466850446E-03
 2021.063860    7.4553077354E-23    2.1422357136E-03
 2021.068650    7.4399943483E-23    2.1378355083E-03
 2021.073440    7.4248510720E-23    2.1334841832E-03
 2021.078230    7.4098770676E-23    2.1291814974E-03
 2021.083020    7.3950715116E-23    2.1249272141E-03
 2021.087810    7.3804335956E-23    2.1207211012E-03
 2021.092600    7.3659625254E-23    2.1165629303E-03
 2021.097390    7.3516575248E-23    2.1124524785E-03
 2021.102180    7.3375178309E-23    2.1083895265E-03
 2021.106970    7.3235426977E-23    2.1043738600E-03
 2021.111760    7.3097313951E-23    2.1004052692E-03
 2021.116550    7.2960832088E-23    2.0964835489E-03
 2021.121340    7.2825974410E-23    2.0926084985E-03
 2021.126130    7.2692734094E-23    2.0887799219E-03
 2021.130920    7.2561104488E-23    2.0849976281E-03
 2021.135710    7.2431079107E-23    2.0812614307E-03
 2021.140500    7.2302651631E-23    2.0775711481E-03
 2021.145290    7.2175815905E-23    2.0739266034E-03
 2021.150080    7.2050565947E-23    2.0703276247E-03
 2021.154870    7.1926895946E-23    2.0667740452E-03
 2021.159660    7.1804800263E-23    2.0632657026E-03
 2021.164450    7.1684273433E-23    2.0598024401E-03
 2021.169240    7.1565310160E-23    2.0563841054E-03
 2021.174030    7.1447905012E-23    2.0530105424E-03
 2021.178820    7.1332053701E-23    2.0496816280E-03
 2021.183610    7.1217751145E-23    2.0463972160E-03
 2021.188400    7.1105000236E-23    2.0431573897E-03
 2021.193190    7.0993781655E-23    2.0399615938E-03
 2021.197980    7.0884098656E-23    2.0368099220E-03
 2021.202770    7.0775947207E-23    2.0337022582E-03
 2021.207560    7.0669323471E-23    2.0306384923E-03
 2021.212350    7.0564223794E-23    2.0276185193E-03
 2021.217140    7.0460644717E-23    2.0246422398E-03
 2021.221930    7.0358582959E-23    2.0217095594E-03
 2021.226720    7.0258035435E-23    2.0188203897E-03
 2021.231510    7.0158999254E-23    2.0159746474E-03
 2021.236300    7.0061471705E-23    2.0131722547E-03
 2021.241090    6.9965450284E-23    2.0104131397E-03
 2021.245880    6.9870932662E-23    2.0076972354E-03
 2021.250670    6.9777916712E-23    2.0050244806E-03
 2021.255460    6.9686400500E-23    2.0023948199E-03
 2021.260250    6.9596382276E-23    1.9998082030E-03
 2021.265040    6.9507863868E-23    1.9972646823E-03
 2021.269830    6.9420838286E-23    1.9947640570E-03
 2021.274620    6.9335305476E-23    1.9923063256E-03
 2021.279410    6.9251265589E-23    1.9898914924E-03
 2021.284200    6.9168717831E-23    1.9875195345E-03
 2021.288990    6.9087661595E-23    1.9851904346E-03
 2021.293780    6.9008096458E-23    1.9829041806E-03
 2021.298570    6.8930022195E-23    1.9806607658E-03
 2021.303360    6.8853438758E-23    1.9784601890E-03
 2021.308150    6.8778348771E-23    1.9763025255E-03
 2021.312940    6.8704747568E-23    1.9741876413E-03
 2021.317730    6.8632638143E-23    1.9721156224E-03
 2021.322520    6.8562021160E-23    1.9700864879E-03
 2021.327310    6.8492897483E-23    1.9681002626E-03
 2021.332100    6.8425268135E-23    1.9661569759E-03
 2021.336890    6.8359134316E-23    1.9642566622E-03
 2021.341680    6.8294497400E-23    1.9623993612E-03
 2021.346470    6.8231358937E-23    1.9605851172E-03
 2021.351260    6.8169720631E-23    1.9588139793E-03
 2021.356050    6.8109584375E-23    1.9570860019E-03
 2021.360840    6.8050952206E-23    1.9554012434E-03
 2021.365630    6.7993826342E-23    1.9537597677E-03
 2021.370420    6.7938209158E-23    1.9521616430E-03
 2021.375210    6.7884103192E-23    1.9506069421E-03
